bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,selfknowledge,similarity,meta,substantative,cyclic_start,condorcet_start,unique_start,proximity_to_voter_sp_start,proximity_to_cand_sp_start,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true
3.,Sample,3,5,1.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,2,4,false,true,3,3,5
3.,Sample,3,5,2.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,3.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,4.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,5.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,2,3,5,false,true,3,3,5
3.,Sample,3,5,6.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,2,3,5,false,true,3,3,5
3.,Sample,3,5,7.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,8.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,9.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,10.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,11.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,12.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,13.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,14.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,15.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,16.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,17.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,18.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,19.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Sample,3,5,20.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,4,false,true,3,3,5,false,true,3,3,5
3.,Voter,4,5,0.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,1.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,2.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,3,3,4,false,true,4,3,4
3.,Voter,4,5,3.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,3,3,4,false,true,4,3,4
3.,Voter,4,5,4.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,3,3,4,false,true,4,3,4
3.,Voter,4,5,5.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,3,3,4,false,true,4,3,4
3.,Voter,4,5,6.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,2,4,false,true,4,3,4
3.,Voter,4,5,7.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,3,3,4,false,true,4,3,4
3.,Voter,4,5,8.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,9.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,10.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,11.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,12.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,13.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,14.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,15.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,16.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,3,4,false,true,4,3,4
3.,Voter,4,5,17.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,2,4,false,true,4,3,4
3.,Voter,4,5,18.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,2,4,false,true,4,3,4
3.,Voter,4,5,19.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,2,4,false,true,4,3,4
3.,Voter,4,5,20.,1,false,true,false,false,false,false,true,true,true,false,true,4,3,4,false,true,4,2,4,false,true,4,3,4
3.,Sample,7,5,0.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,true,false,7,3,3,false,true,6,4,2
3.,Sample,7,5,1.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,true,false,7,3,3,false,true,6,4,2
3.,Sample,7,5,2.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,6,4,3,false,true,6,4,2
3.,Sample,7,5,3.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,6,4,3,false,true,6,4,2
3.,Sample,7,5,4.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,5,3,false,true,6,4,2
3.,Sample,7,5,5.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,3,false,true,6,4,2
3.,Sample,7,5,6.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,7.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,8.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,9.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,10.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,11.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,12.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,13.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,14.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,15.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,16.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,17.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,18.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,19.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Sample,7,5,20.,1,false,true,false,false,false,false,true,true,true,true,false,7,3,3,false,true,7,4,4,false,true,6,4,2
3.,Voter,5,6,0.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,3,4,false,true,5,3,4
3.,Voter,5,6,1.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,3,4,false,true,5,3,4
3.,Voter,5,6,2.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,3,4,false,true,5,3,4
3.,Voter,5,6,3.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,4,4,5,false,true,5,3,4
3.,Voter,5,6,4.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,3,5,false,true,5,3,4
3.,Voter,5,6,5.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,6.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,4,5,6,false,true,5,3,4
3.,Voter,5,6,7.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,4,5,6,false,true,5,3,4
3.,Voter,5,6,8.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,3,5,6,false,true,5,3,4
3.,Voter,5,6,9.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,4,5,6,false,true,5,3,4
3.,Voter,5,6,10.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,4,5,6,false,true,5,3,4
3.,Voter,5,6,11.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,12.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,13.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,14.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,15.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,16.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,17.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,18.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,19.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Voter,5,6,20.,1,false,true,false,false,false,false,true,true,true,false,true,5,3,4,false,true,5,5,6,false,true,5,3,4
3.,Sample,4,5,0.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,2,3,false,false,4,2,4
3.,Sample,4,5,1.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,2,3,false,false,4,2,4
3.,Sample,4,5,2.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,2,3,false,false,4,2,4
3.,Sample,4,5,3.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,4.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,5.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,6.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,7.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,8.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,9.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,10.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,11.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,12.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,13.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,14.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,15.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,16.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,17.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,18.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,19.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,4,5,20.,1,false,true,false,false,false,false,true,true,true,false,false,4,2,3,false,false,4,3,4,false,false,4,2,4
3.,Sample,3,5,0.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,3,false,true,3,2,4
3.,Sample,3,5,1.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,true,true,3,2,3,false,true,3,2,4
3.,Sample,3,5,2.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,3.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,4.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,5.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,6.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,7.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,8.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,9.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,10.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,11.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,12.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,13.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,14.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,15.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,16.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,17.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,18.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,19.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Sample,3,5,20.,1,false,true,false,false,false,false,true,true,true,false,true,3,2,3,false,true,3,2,4,false,true,3,2,4
3.,Voter,6,6,0.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,false,5,4,5,false,false,4,5,5
3.,Voter,6,6,1.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,6,4,5,false,false,4,5,5
3.,Voter,6,6,2.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,4,5,false,false,4,5,5
3.,Voter,6,6,3.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,4,5,false,false,4,5,5
3.,Voter,6,6,4.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,4,5,false,false,4,5,5
3.,Voter,6,6,5.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,4,5,false,false,4,5,5
3.,Voter,6,6,6.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,4,5,false,false,4,5,5
3.,Voter,6,6,7.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,5,5,false,false,4,5,5
3.,Voter,6,6,8.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,5,5,false,false,4,5,5
3.,Voter,6,6,9.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,5,5,5,false,false,4,5,5
3.,Voter,6,6,10.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,11.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,12.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,13.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,14.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,15.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,16.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,17.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,18.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,19.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,6,6,20.,1,false,true,false,false,false,false,true,true,true,false,false,5,4,5,false,true,4,5,5,false,false,4,5,5
3.,Voter,5,4,0.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,true,false,5,4,3,false,true,4,4,3
3.,Voter,5,4,1.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,true,false,5,4,3,false,true,4,4,3
3.,Voter,5,4,2.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,5,3,3,false,true,4,4,3
3.,Voter,5,4,3.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,5,3,3,false,true,4,4,3
3.,Voter,5,4,4.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,4,3,false,true,4,4,3
3.,Voter,5,4,5.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,5,5,4,false,true,4,4,3
3.,Voter,5,4,6.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,5,4,false,true,4,4,3
3.,Voter,5,4,7.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,5,4,false,true,4,4,3
3.,Voter,5,4,8.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,5,4,false,true,4,4,3
3.,Voter,5,4,9.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,4,3,false,true,4,4,3
3.,Voter,5,4,10.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,4,3,false,true,4,4,3
3.,Voter,5,4,11.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,4,3,false,true,4,4,3
3.,Voter,5,4,12.,1,false,true,false,false,false,false,true,true,true,true,false,5,4,3,false,true,4,4,3,false,true,4,4,3
